iter	Passed	Remaining
0	0	79
1	1	69
2	2	65
3	2	63
4	3	61
5	3	60
6	4	59
7	5	58
8	5	58
9	6	57
10	7	56
11	7	56
12	8	55
13	8	54
14	9	54
15	10	55
16	11	55
17	12	54
18	12	54
19	13	54
20	14	53
21	15	53
22	15	52
23	16	52
24	17	51
25	17	50
26	18	50
27	19	49
28	19	48
29	20	47
30	21	47
31	21	46
32	22	45
33	23	45
34	23	44
35	24	43
36	25	43
37	26	42
38	26	42
39	27	41
40	28	40
41	29	40
42	29	39
43	30	38
44	31	37
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	27
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	46	22
68	47	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	54	13
80	55	13
81	56	12
82	56	11
83	57	10
84	58	10
85	58	9
86	59	8
87	60	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
